num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,long_name,conc,area,ref,ref_sd,temp_coef,tc_mean,tc_rd,mean,stdv,min,max,temp
59,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1811.17,-4.739227241,1883.5,49.787,1760,2000,21.44
60,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1460.62,-5.765493488,1521,43.621,1400,1600,21.44
61,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1211.17,-19.83066025,1263.5,39.075,1160,1360,21.44
62,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,932.8,-9.12217592,974,32.825,900,1080,21.44
63,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,681.08,-15.40485214,710.25,22.946,680,780,21.44
64,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,513.93,-14.33923513,536.5,18.766,500,600,21.44
65,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2446.89,-19.1156195,2568.75,55.333,2450,2650,21.74
66,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2128.11,-2.627665808,2236.25,52.153,2150,2350,21.74
67,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1800.18,-5.317263774,1892.5,45.715,1800,2000,21.74
68,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1479.06,-4.575505591,1555,44.266,1480,1640,21.74
69,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1227.81,-18.7291882,1294.5,39.359,1200,1360,21.74
70,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,938.38,-8.578550651,991.25,31.638,900,1040,21.74
71,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,679.89,-15.55160037,717,23.621,660,780,21.74
72,5,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,521.77,-13.03275788,549.75,16.837,520,580,21.74
73,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2390.47,-20.98075442,2506.25,65.301,2350,2650,21.74
74,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2084.49,-4.623569231,2187.5,55.972,2050,2350,21.74
75,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1772.61,-6.767750785,1860,52.095,1720,1960,21.74
76,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1445.54,-6.738409213,1518.5,45.649,1400,1600,21.74
77,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1204.26,-20.28757271,1267.5,37.971,1160,1360,21.74
78,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,931.46,-9.252131817,981.25,30.414,920,1080,21.74
79,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,679.25,-15.63190635,714.5,23.808,660,780,21.74
80,5,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,515.48,-14.08122054,542.75,17.645,520,600,21.74
81,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2486.85,-17.79456532,2580,53.722,2450,2650,21.33
82,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2149.84,-1.633359822,2232.5,49.746,2150,2350,21.33
83,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1857.56,-2.299421173,1928.125,50.569,1800,2050,21.33
84,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1515.95,-2.195231539,1574,42.265,1480,1640,21.33
