num,session,code,sequence,date,scanner,dictionary,map,array,sphere_num,sphere,sphere_name_sh,NIST_name,conc,mean,stdv,temp
,ref,ref,ref,ref,ref,ref,T1,T1a,5,S5,S5_T1a,NiCl2-5,2.52,490.24,7.01,24
,ref,ref,ref,ref,ref,ref,T1,T1a,5,S5,S5_T1a,NiCl2-5,2.52,494.55,7.06,26
,ref,ref,ref,ref,ref,ref,T2,T1a,5,S5,S5_T1a,NiCl2-5,2.52,358.92,4.43,16
,ref,ref,ref,ref,ref,ref,T2,T1a,5,S5,S5_T1a,NiCl2-5,2.52,355.15,4.46,18
,ref,ref,ref,ref,ref,ref,T2,T1a,5,S5,S5_T1a,NiCl2-5,2.52,354.38,4.51,20
,ref,ref,ref,ref,ref,ref,T2,T1a,5,S5,S5_T1a,NiCl2-5,2.52,356.14,4.43,22
,ref,ref,ref,ref,ref,ref,T2,T1a,5,S5,S5_T1a,NiCl2-5,2.52,359.8,4.46,24
,ref,ref,ref,ref,ref,ref,T2,T1a,5,S5,S5_T1a,NiCl2-5,2.52,365.21,4.51,26
,ref,ref,ref,ref,ref,ref,T2,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,81.86,0.77,16
,ref,ref,ref,ref,ref,ref,T2,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,85.92,0.81,18
,ref,ref,ref,ref,ref,ref,T2,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,88.89,0.84,20
,ref,ref,ref,ref,ref,ref,T2,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,92.3,0.87,22
,ref,ref,ref,ref,ref,ref,T2,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,95.97,0.9,24
,ref,ref,ref,ref,ref,ref,T2,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,99.89,0.94,26
,ref,ref,ref,ref,ref,ref,T1,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,892.29,22.31,16
,ref,ref,ref,ref,ref,ref,T1,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,972.48,24.31,18
,ref,ref,ref,ref,ref,ref,T1,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,1026.43,25.66,20
,ref,ref,ref,ref,ref,ref,T1,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,1083.42,27.09,22
,ref,ref,ref,ref,ref,ref,T1,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,1141.5,28.54,24
,ref,ref,ref,ref,ref,ref,T1,T2a,6,S6,S6_T2a,MnCl2-6,0.0934,1202.4,30.06,26
,ref,ref,ref,ref,ref,ref,T2,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,59.45,0.56,16
,ref,ref,ref,ref,ref,ref,T2,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,61.31,0.58,18
,ref,ref,ref,ref,ref,ref,T2,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,63.42,0.6,20
,ref,ref,ref,ref,ref,ref,T2,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,65.65,0.62,22
,ref,ref,ref,ref,ref,ref,T2,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,67.82,0.64,24
,ref,ref,ref,ref,ref,ref,T2,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,70.57,0.66,26
,ref,ref,ref,ref,ref,ref,T1,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,711.11,17.78,16
,ref,ref,ref,ref,ref,ref,T1,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,757.34,18.93,18
,ref,ref,ref,ref,ref,ref,T1,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,805.1,20.13,20
,ref,ref,ref,ref,ref,ref,T1,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,848.64,21.22,22
,ref,ref,ref,ref,ref,ref,T1,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,892.41,22.31,24
,ref,ref,ref,ref,ref,ref,T1,T2a,7,S7,S7_T2a,MnCl2-7,0.1353,937.12,23.43,26
,ref,ref,ref,ref,ref,ref,T2,T2a,8,S8,S8_T2a,MnCl2-8,0.193,41.53,0.39,16
,ref,ref,ref,ref,ref,ref,T2,T2a,8,S8,S8_T2a,MnCl2-8,0.193,42.63,0.4,18
,ref,ref,ref,ref,ref,ref,T2,T2a,8,S8,S8_T2a,MnCl2-8,0.193,44.24,0.42,20
,ref,ref,ref,ref,ref,ref,T2,T2a,8,S8,S8_T2a,MnCl2-8,0.193,45.86,0.43,22
,ref,ref,ref,ref,ref,ref,T2,T2a,8,S8,S8_T2a,MnCl2-8,0.193,47.66,0.45,24
,ref,ref,ref,ref,ref,ref,T2,T2a,8,S8,S8_T2a,MnCl2-8,0.193,49.26,0.46,26
,ref,ref,ref,ref,ref,ref,T1,T2a,8,S8,S8_T2a,MnCl2-8,0.193,531.6,13.29,16
,ref,ref,ref,ref,ref,ref,T1,T2a,8,S8,S8_T2a,MnCl2-8,0.193,563.86,14.1,18
,ref,ref,ref,ref,ref,ref,T1,T2a,8,S8,S8_T2a,MnCl2-8,0.193,599.96,15,20
,ref,ref,ref,ref,ref,ref,T1,T2a,8,S8,S8_T2a,MnCl2-8,0.193,634.59,15.86,22
,ref,ref,ref,ref,ref,ref,T1,T2a,8,S8,S8_T2a,MnCl2-8,0.193,669.56,16.74,24
,ref,ref,ref,ref,ref,ref,T1,T2a,8,S8,S8_T2a,MnCl2-8,0.193,703.51,17.59,26
