num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,conc,area,mean,stdv,min,max,temp
102,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T1a,S3,S3_T1a,NiCl2-3,1.04,80,576.875,44.255,500,700,21.74
103,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T1a,S4,S4_T1a,NiCl2-4,1.64,80,432.5,33.846,400,500,21.74
104,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T1a,S5,S5_T1a,NiCl2-5,2.52,80,313.875,24.104,280,350,21.74
105,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,545,30.398,500,600,21.74
106,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,347.5,27.444,300,400,21.74
107,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,249,16.351,220,280,21.74
108,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,199.125,16.55,170,240,21.74
109,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,139.688,11.033,120,170,21.74
110,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,98.6,7.543,82,115,21.74
111,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,72.35,8.093,54,90,21.74
112,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T2a,S8,S8_T2a,MnCl2-8,0.193,80,46.775,6.344,36,62,21.74
113,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1945.875,61.164,1800,2050,21.74
114,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1338.5,39.204,1240,1440,21.74
115,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T1a,S3,S3_T1a,NiCl2-3,1.04,80,946.75,41.362,860,1040,21.74
116,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T1a,S4,S4_T1a,NiCl2-4,1.64,80,672.25,32.217,600,760,21.74
117,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T1a,S5,S5_T1a,NiCl2-5,2.52,80,488,27.114,440,560,21.74
